Gesture,Group1,Group2,Z-Stat,p-value,Corrected p-value
Increase volume,Human-STR,GPT4o-STR,6.801671683521462,1.0341206150580154e-11,1.2409447380696184e-09
Increase volume,Human-STR,GPT5-STR,8.760785141783364,1.938950690489493e-18,2.326740828587392e-16
Increase volume,Human-STR,Gemini-STR,9.762467679725136,1.6313653620764043e-22,1.9576384344916853e-20
Increase volume,Human-STR,Sonnet-STR,7.663000454612982,1.816387024634626e-14,2.179664429561551e-12
Increase volume,Human-STR,Grok-STR,10.049475077101276,9.235806615377385e-24,1.1082967938452861e-21
Increase volume,GPT4o-STR,GPT5-STR,2.2886885410853166,0.022097455284227206,1.0
Increase volume,GPT4o-STR,Gemini-STR,3.5124698233985105,0.00044396241778481385,0.053275490134177664
Increase volume,GPT4o-STR,Sonnet-STR,1.0336269831325704,0.30131057990827903,1.0
Increase volume,GPT4o-STR,Grok-STR,4.001108645422112,6.304640018111064e-05,0.007565568021733277
Increase volume,GPT5-STR,Gemini-STR,1.2630124300859993,0.20658471263096145,1.0
Increase volume,GPT5-STR,Sonnet-STR,-1.2487634084073316,0.2117516211695193,1.0
Increase volume,GPT5-STR,Grok-STR,1.836782556086764,0.0662420020897658,1.0
Increase volume,Gemini-STR,Sonnet-STR,-2.488668199440598,0.012822256902767464,1.0
Increase volume,Gemini-STR,Grok-STR,0.6103383381729877,0.541637705557348,1.0
Increase volume,Sonnet-STR,Grok-STR,3.0161260532750895,0.002560268003602597,0.30723216043231166
Decrease volume,Human-STR,GPT4o-STR,10.84323350626035,2.1474412220230973e-27,2.576929466427717e-25
Decrease volume,Human-STR,GPT5-STR,10.503933891757116,8.285366228527849e-26,9.94243947423342e-24
Decrease volume,Human-STR,Gemini-STR,9.06120712970765,1.2901475616128073e-19,1.548177073935369e-17
Decrease volume,Human-STR,Sonnet-STR,12.033544193812062,2.3677384371509328e-33,2.8412861245811195e-31
Decrease volume,Human-STR,Grok-STR,12.618781346252822,1.6637597806071976e-36,1.996511736728637e-34
Decrease volume,GPT4o-STR,GPT5-STR,-0.41477127703619737,0.6783093481514642,1.0
Decrease volume,GPT4o-STR,Gemini-STR,-2.3257910488444486,0.0200297003994361,1.0
Decrease volume,GPT4o-STR,Sonnet-STR,1.9398860519981174,0.052393539550789806,1.0
Decrease volume,GPT4o-STR,Grok-STR,2.8991446283378783,0.00374182249525168,0.4490186994302016
Decrease volume,GPT5-STR,Gemini-STR,-1.9062718136100325,0.05661494921507715,1.0
Decrease volume,GPT5-STR,Sonnet-STR,2.3272643455376016,0.019951200189373165,1.0
Decrease volume,GPT5-STR,Grok-STR,3.2685571187272835,0.0010809735651870881,0.1297168278224506
Decrease volume,Gemini-STR,Sonnet-STR,4.119014796615428,3.804957164960475e-05,0.00456594859795257
Decrease volume,Gemini-STR,Grok-STR,4.98303351447485,6.259510367837944e-07,7.511412441405532e-05
Decrease volume,Sonnet-STR,Grok-STR,1.0139971112281632,0.3105841307212658,1.0
Mute microphone,Human-STR,GPT4o-STR,5.5137078563185,3.5135163865176035e-08,4.216219663821124e-06
Mute microphone,Human-STR,GPT5-STR,4.646212473461339,3.380847935197768e-06,0.00040570175222373215
Mute microphone,Human-STR,Gemini-STR,5.5137078563185,3.5135163865176035e-08,4.216219663821124e-06
Mute microphone,Human-STR,Sonnet-STR,7.304096646871601,2.7913569254357863e-13,3.349628310522943e-11
Mute microphone,Human-STR,Grok-STR,4.210254944108261,2.550826749524147e-05,0.003060992099428976
Mute microphone,GPT4o-STR,GPT5-STR,-0.960056300800649,0.33702688014366244,1.0
Mute microphone,GPT4o-STR,Gemini-STR,0.0,1.0,1.0
Mute microphone,GPT4o-STR,Sonnet-STR,2.0941964467489793,0.03624248417873263,1.0
Mute microphone,GPT4o-STR,Grok-STR,-1.2874449204051115,0.1979392558794557,1.0
Mute microphone,GPT5-STR,Gemini-STR,0.960056300800649,0.33702688014366244,1.0
Mute microphone,GPT5-STR,Sonnet-STR,3.0238288096147996,0.0024959763133562936,0.2995171576027552
Mute microphone,GPT5-STR,Grok-STR,-0.3515800377331838,0.7251532381453927,1.0
Mute microphone,Gemini-STR,Sonnet-STR,2.0941964467489793,0.03624248417873263,1.0
Mute microphone,Gemini-STR,Grok-STR,-1.2874449204051115,0.1979392558794557,1.0
Mute microphone,Sonnet-STR,Grok-STR,-3.3039335374486205,0.0009533843154903495,0.11440611785884194
Unmute microphone,Human-STR,GPT4o-STR,3.974938143481439,7.039755047435625e-05,0.00844770605692275
Unmute microphone,Human-STR,GPT5-STR,3.5988480270914023,0.00031962989620943255,0.03835558754513191
Unmute microphone,Human-STR,Gemini-STR,4.00739613587475,6.139184516040012e-05,0.0073670214192480135
Unmute microphone,Human-STR,Sonnet-STR,4.843988871919145,1.2725806281624833e-06,0.000152709675379498
Unmute microphone,Human-STR,Grok-STR,4.782492857672326,1.7313454096538331e-06,0.00020776144915845998
Unmute microphone,GPT4o-STR,GPT5-STR,-0.249282923092645,0.8031419398504498,1.0
Unmute microphone,GPT4o-STR,Gemini-STR,0.021183278996208674,0.9830994527186482,1.0
Unmute microphone,GPT4o-STR,Sonnet-STR,1.155350451796908,0.247946943415694,1.0
Unmute microphone,GPT4o-STR,Grok-STR,1.1182766966630435,0.2634488364202786,1.0
Unmute microphone,GPT5-STR,Gemini-STR,0.27049922771830837,0.7867762109778559,1.0
Unmute microphone,GPT5-STR,Sonnet-STR,1.3724322483333655,0.16992891680550382,1.0
Unmute microphone,GPT5-STR,Grok-STR,1.3346368879046921,0.18199521878544622,1.0
Unmute microphone,Gemini-STR,Sonnet-STR,1.137079589000033,0.25550501570590833,1.0
Unmute microphone,Gemini-STR,Grok-STR,1.1000621394031052,0.2713050484095829,1.0
Unmute microphone,Sonnet-STR,Grok-STR,-0.030421915567063577,0.9757305668482552,1.0
Turn off camera,Human-STR,GPT4o-STR,5.782396206656794,7.364400741978512e-09,8.837280890374214e-07
Turn off camera,Human-STR,GPT5-STR,4.659659326998149,3.1673315294966417e-06,0.000380079783539597
Turn off camera,Human-STR,Gemini-STR,5.318665113022826,1.0453133296807692e-07,1.254375995616923e-05
Turn off camera,Human-STR,Sonnet-STR,5.097450306265308,3.442587460446559e-07,4.1311049525358706e-05
Turn off camera,Human-STR,Grok-STR,4.754242101660306,1.991922289276331e-06,0.00023903067471315974
Turn off camera,GPT4o-STR,GPT5-STR,-1.501519670765272,0.1332212028025685,1.0
Turn off camera,GPT4o-STR,Gemini-STR,-0.6147242373203557,0.538736850581349,1.0
Turn off camera,GPT4o-STR,Sonnet-STR,-0.7313739984430998,0.46455074275326813,1.0
Turn off camera,GPT4o-STR,Grok-STR,-1.214278011493937,0.22464157934033824,1.0
Turn off camera,GPT5-STR,Gemini-STR,0.8986615562004375,0.36883295996495735,1.0
Turn off camera,GPT5-STR,Sonnet-STR,0.7572740374816852,0.4488857018427558,1.0
Turn off camera,GPT5-STR,Grok-STR,0.2758643003989105,0.7826522944614851,1.0
Turn off camera,Gemini-STR,Sonnet-STR,-0.12558004951905888,0.900064356093063,1.0
Turn off camera,Gemini-STR,Grok-STR,-0.6118540801553618,0.540634305414572,1.0
Turn off camera,Sonnet-STR,Grok-STR,-0.47754530351393115,0.6329738688701612,1.0
Turn on camera,Human-STR,GPT4o-STR,3.5918912720504554,0.000328286821860433,0.039394418623251964
Turn on camera,Human-STR,GPT5-STR,3.7279250702213567,0.0001930627562558179,0.023167530750698148
Turn on camera,Human-STR,Gemini-STR,4.018111136315222,5.86665275685598e-05,0.007039983308227176
Turn on camera,Human-STR,Sonnet-STR,2.726574987942172,0.006399540949705019,0.7679449139646023
Turn on camera,Human-STR,Grok-STR,3.669250355724489,0.00024326276099825698,0.02919153131979084
Turn on camera,GPT4o-STR,GPT5-STR,0.23942513414750155,0.8107759424360952,1.0
Turn on camera,GPT4o-STR,Gemini-STR,0.5990985541239173,0.5491071658041377,1.0
Turn on camera,GPT4o-STR,Sonnet-STR,-0.9128621877755531,0.3613150265026027,1.0
Turn on camera,GPT4o-STR,Grok-STR,0.2028330309432627,0.8392655395682729,1.0
Turn on camera,GPT5-STR,Gemini-STR,0.3578350355317034,0.7204667697288112,1.0
Turn on camera,GPT5-STR,Sonnet-STR,-1.1322786240173321,0.2575173140465048,1.0
Turn on camera,GPT5-STR,Grok-STR,-0.034957655464188886,0.9721135062632322,1.0
Turn on camera,Gemini-STR,Sonnet-STR,-1.4771754388025264,0.13962861578096006,1.0
Turn on camera,Gemini-STR,Grok-STR,-0.3910367806549239,0.6957700490194488,1.0
Turn on camera,Sonnet-STR,Grok-STR,1.0909253364710807,0.2753057374809259,1.0
Ask for a question,Human-STR,GPT4o-STR,5.171356593369378,2.324005905210912e-07,2.7888070862530943e-05
Ask for a question,Human-STR,GPT5-STR,2.971180275247328,0.0029665758576965747,0.355989102923589
Ask for a question,Human-STR,Gemini-STR,3.6371423562974257,0.00027567958521210656,0.03308155022545279
Ask for a question,Human-STR,Sonnet-STR,6.547806120424003,5.838845106571142e-11,7.00661412788537e-09
Ask for a question,Human-STR,Grok-STR,4.4008935949603645,1.0780598407484489e-05,0.0012936718088981387
Ask for a question,GPT4o-STR,GPT5-STR,-2.6239894066095415,0.00869064881184895,1.0
Ask for a question,GPT4o-STR,Gemini-STR,-1.8599971843611924,0.06288592432134267,1.0
Ask for a question,GPT4o-STR,Sonnet-STR,1.7089130437083149,0.08746705799483785,1.0
Ask for a question,GPT4o-STR,Grok-STR,-0.9384080062833227,0.3480347730266964,1.0
Ask for a question,GPT5-STR,Gemini-STR,0.7914269322857845,0.4286948988941003,1.0
Ask for a question,GPT5-STR,Sonnet-STR,4.23113326521965,2.325168548532745e-05,0.002790202258239294
Ask for a question,GPT5-STR,Grok-STR,1.7063974627104619,0.08793410270378284,1.0
Ask for a question,Gemini-STR,Sonnet-STR,3.5089924937325816,0.0004498075993645666,0.05397691192374799
Ask for a question,Gemini-STR,Grok-STR,0.9264415703348355,0.3542165489836093,1.0
Ask for a question,Sonnet-STR,Grok-STR,-2.618703533670026,0.008826461939878917,1.0
End call,Human-STR,GPT4o-STR,-0.41458537730692285,0.6784454545642965,1.0
End call,Human-STR,GPT5-STR,0.1572835155171686,0.8750214112717153,1.0
End call,Human-STR,Gemini-STR,3.6786538971703346,0.00023446819326585465,0.02813618319190256
End call,Human-STR,Sonnet-STR,-1.0170049469756504,0.30915107606616843,1.0
End call,Human-STR,Grok-STR,-0.18996134809439394,0.8493394187364457,1.0
End call,GPT4o-STR,GPT5-STR,0.5720947374397514,0.5672577941917256,1.0
End call,GPT4o-STR,Gemini-STR,4.06735802101614,4.7549160986214656e-05,0.005705899318345759
End call,GPT4o-STR,Sonnet-STR,-0.6078749628909441,0.5432704062458618,1.0
End call,GPT4o-STR,Grok-STR,0.21986991800492958,0.8259724649886031,1.0
End call,GPT5-STR,Gemini-STR,3.532273800321325,0.0004120025332787071,0.04944030399344485
End call,GPT5-STR,Sonnet-STR,-1.1728708517893944,0.2408476000169324,1.0
End call,GPT5-STR,Grok-STR,-0.3456118560724698,0.7296344346067625,1.0
End call,Gemini-STR,Sonnet-STR,-4.605636866814764,4.112054208935156e-06,0.0004934465050722187
End call,Gemini-STR,Grok-STR,-3.832509851987881,0.000126842517921876,0.015221102150625119
End call,Sonnet-STR,Grok-STR,0.8176218979725883,0.41357311966398214,1.0
